City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
275,Namibe,AO,-15.1961,12.1522,66.45,84,19,11.54,
276,Pacasmayo,PE,-7.4006,-79.5714,66.96,70,54,14.72,
277,Lhokseumawe,ID,5.1801,97.1507,78.98,87,50,5.01,
278,Mitsamiouli,KM,-11.3847,43.2844,80.89,61,20,6.91,
279,Turukhansk,RU,65.8167,87.9833,51.58,75,73,5.95,
280,Komsomolskiy,UZ,40.4272,71.7189,86.72,25,0,2.3,
281,Cabedelo,BR,-6.9811,-34.8339,84.87,69,38,17.25,
282,Nanortalik,GL,60.1432,-45.2371,48.56,77,100,11.54,
283,Sena Madureira,BR,-9.0656,-68.6569,91.42,44,100,3.65,
284,Port Hardy,CA,50.6996,-127.4199,53.78,94,100,3.44,
285,Smolenka,RU,52.1352,113.4974,68.07,77,0,6.71,
286,San Policarpo,PH,12.1791,125.5072,81.43,81,94,4.85,
287,Umiray,PH,15.2206,121.4111,80.53,85,88,3.51,
288,Hofn,IS,64.2539,-15.2082,60.82,44,20,25.32,
289,Chanika,TZ,-5.4167,38.0167,66.54,82,100,3.94,
290,Muyezerskiy,RU,63.9333,31.65,66.72,59,76,5.21,
291,Zhaotong,CN,27.3167,103.7167,67.26,75,44,2.57,
292,Mackenzie,CA,55.2999,-123.1698,55.62,62,100,10.36,
293,Caucaia,BR,-3.7361,-38.6531,87.31,62,40,14.97,
294,Severomuysk,RU,56.1481,113.4267,55.51,76,95,3.58,
295,Fortuna,US,40.5982,-124.1573,56.93,89,100,4.52,
296,Saldanha,ZA,-33.0117,17.9442,59.05,86,6,8.63,
297,Olinala,MX,17.8333,-98.85,71.31,71,97,2.57,
298,Snasa,NO,64.2457,12.3778,51.21,96,100,9.15,
299,Kirillov,RU,59.863,38.3813,66.96,66,52,5.84,
300,Kaura Namoda,NG,12.5898,6.5779,93.4,40,36,10.78,
301,Andenes,NO,69.3143,16.1194,53.58,87,75,12.66,
302,Methoni,GR,36.8197,21.7049,89.46,62,0,17.07,
303,Rivne,UA,50.6231,26.2274,69.08,73,66,7.23,
304,Saskylakh,RU,71.9167,114.0833,41.79,93,100,8.03,
305,Marquette,US,46.5333,-87.6335,68.77,56,0,5.14,
306,Yen Bai,VN,21.7,104.8667,78.98,93,43,3.76,
307,Cabangahan,PH,9.0781,122.9469,82.18,78,91,5.61,
308,Viedma,AR,-40.8135,-62.9967,51.98,63,100,19.95,
309,Qaqortoq,GL,60.7167,-46.0333,49.24,75,100,9.82,
310,Kysyl-Syr,RU,63.8986,122.7617,60.37,98,16,3.96,
311,Rafaela,AR,-31.2503,-61.4867,73.0,42,2,7.34,
312,Prescott,US,34.54,-112.4685,85.89,47,0,5.75,
313,Pak Kret,TH,13.913,100.4988,82.98,82,20,5.75,
314,Srednekolymsk,RU,67.45,153.6833,50.34,52,100,10.4,
315,Christchurch,NZ,-43.5333,172.6333,41.47,91,100,3.44,
316,Nishihara,JP,26.1842,127.7558,84.25,91,75,6.91,
317,Axim,GH,4.8699,-2.2405,77.67,79,87,10.98,
318,Huancabamba,PE,-5.2386,-79.4506,71.29,58,35,3.31,
319,Lazaro Cardenas,MX,17.9583,-102.2,84.7,65,99,1.72,
320,Celestun,MX,20.8667,-90.4,87.03,60,100,8.12,
321,Faya,SA,18.3851,42.4509,75.31,58,86,6.44,
322,Palmer,US,42.1584,-72.3287,80.65,52,7,3.58,
323,Oliver,CA,49.1831,-119.5524,68.25,45,6,1.14,
324,Shorewood,US,41.52,-88.2017,79.45,55,0,6.91,
325,Egvekinot,RU,66.3167,-179.1667,44.96,71,99,5.59,
326,Karpogory,RU,64.0019,44.4451,76.75,50,56,1.12,
327,Monopoli,IT,40.9559,17.2896,87.71,53,0,8.57,
328,Batagay-Alyta,RU,67.8006,130.4114,57.96,79,37,3.85,
329,Ostersund,SE,63.1792,14.6357,51.62,81,100,18.41,
330,Kambove,CD,-10.8764,26.5969,68.11,39,26,2.89,
331,Hervey Bay,AU,-25.2986,152.8535,56.39,74,11,12.57,
332,Ambulu,ID,-8.345,113.6058,74.75,89,84,4.65,
333,Lompoc,US,34.6391,-120.4579,62.92,84,100,4.61,
334,Talara,PE,-4.5772,-81.2719,68.76,73,0,24.16,
335,Kang,BW,-23.6752,22.7876,65.32,23,0,7.83,
336,Acapulco,MX,16.8634,-99.8901,84.34,65,100,1.68,
337,Manaure,CO,11.7751,-72.4445,88.7,46,32,21.9,
338,Zhigansk,RU,66.7697,123.3711,58.95,98,88,8.57,
339,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,67,12.28,
340,Inhambane,MZ,-23.865,35.3833,71.58,60,0,3.44,
341,Tineo,ES,43.3376,-6.4145,71.85,34,38,3.24,
342,Ostrovnoy,RU,68.0531,39.5131,64.98,87,96,4.97,
343,Bagaces,CR,10.5271,-85.2548,82.33,71,99,2.55,
344,San Cristobal,VE,7.7669,-72.225,80.78,37,31,6.51,
345,Nyzhnya Duvanka,UA,49.5846,38.1743,68.22,62,69,15.52,
346,Saint Simons,US,31.1352,-81.3901,88.05,59,0,10.36,
347,Broome,US,42.2506,-75.833,74.25,69,4,3.0,
348,Ulladulla,AU,-35.35,150.4667,44.87,81,6,6.13,
349,Terrace,CA,54.5163,-128.6035,53.51,93,100,3.44,
350,Mariinsk,RU,56.2139,87.7472,52.29,69,81,4.34,
351,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,89.98,18,91,10.71,
352,Semey,KZ,50.4111,80.2275,67.5,46,43,7.27,
353,Mindif,CM,10.3976,14.4363,86.85,49,71,6.73,
354,Kota Bahru,MY,6.1333,102.2386,76.98,100,20,0.0,
355,Teplodar,UA,46.5059,30.3252,82.89,33,88,8.86,
356,Hualmay,PE,-11.0964,-77.6139,64.74,69,41,10.27,
357,Bilibino,RU,68.0546,166.4372,42.93,74,10,5.59,
358,Luganville,VU,-15.5333,167.1667,74.68,83,51,3.76,
359,Dunboyne,IE,53.4,-6.4667,68.72,54,75,9.22,
360,Uni,RU,57.7535,51.4923,68.94,88,86,8.14,
361,Touros,BR,-5.1989,-35.4608,80.01,78,40,16.8,
362,Husavik,IS,66.0449,-17.3389,49.84,78,61,6.85,
363,Kaeo,NZ,-35.1,173.7833,49.32,96,55,5.99,
364,Mildura,AU,-34.2,142.15,41.14,81,0,0.81,
365,Manggar,ID,-2.8833,108.2667,81.39,79,60,6.82,
366,Douglas,US,41.3,-96.167,86.4,58,100,13.8,
367,Sorong,ID,-0.8833,131.25,77.4,89,100,6.06,
368,Prince Rupert,CA,54.3161,-130.3201,55.49,87,100,19.57,
369,Minusinsk,RU,53.7103,91.6875,55.98,63,88,1.92,
370,Boulder,US,40.0833,-105.3505,80.96,35,0,3.0,
371,Vagur,FO,61.4732,-6.8119,50.56,88,41,15.12,
372,Laguna,US,38.421,-121.4238,80.96,69,0,4.61,
373,Panaba,MX,21.2833,-88.2667,89.83,49,100,12.84,
374,Corn Island,NI,12.1694,-83.0418,81.09,83,68,21.52,
375,Tukrah,LY,32.5341,20.5791,79.32,52,0,14.23,
376,Malayal,PH,7.208,121.942,76.8,82,100,4.43,
377,Parrita,CR,9.5201,-84.3225,83.28,71,99,2.53,
378,Labuan,MY,5.2767,115.2417,79.16,89,20,0.0,
379,Goundam,ML,16.4145,-3.6708,100.38,28,63,8.59,
380,Kampene,CD,-3.6,26.6667,80.67,51,94,2.57,
381,Constitucion,CL,-35.3333,-72.4167,46.53,80,96,9.13,
382,Inta,RU,66.0317,60.1659,76.6,68,52,10.09,
383,Lensk,RU,60.7253,114.9278,60.42,90,17,3.76,
384,Longonjo,AO,-12.9067,15.2533,76.57,22,1,4.7,
385,Sitrah,BH,26.1547,50.6206,98.82,70,4,4.61,
386,Kuching,MY,1.55,110.3333,75.42,100,40,1.99,
387,Lithgow,AU,-33.4833,150.15,31.32,94,1,2.17,
388,Kamenka,RU,51.3223,42.7678,60.94,82,98,4.61,
389,Geraldton,AU,-28.7667,114.6,63.01,77,75,8.05,
390,Nogent-Le-Rotrou,FR,48.3333,1.0,82.65,20,70,16.73,
391,Port Blair,IN,11.6667,92.75,80.64,83,100,4.61,
392,Rio Gallegos,AR,-51.6226,-69.2181,30.25,86,40,4.61,
393,Dabakala,CI,8.3667,-4.4333,84.74,64,100,4.47,
394,Natal,BR,-5.795,-35.2094,88.02,58,75,16.11,
395,Necochea,AR,-38.5473,-58.7368,54.9,59,100,12.35,
396,Thinadhoo,MV,0.5333,72.9333,83.44,73,58,12.66,
397,Tateyama,JP,34.9833,139.8667,76.1,92,100,5.53,
